url,title,author,num_ratings,num_reviews,avg_rating,num_pages,language,publish_date,genres,awards,characters,places,series,isbn,isbn13,rating_histogram,original_publish_year,asin,Fiction,Contemporary,Romance,Mystery,Audiobook,Thriller,Adult,Fantasy,Young Adult,Historical,Historical Fiction,Mystery Thriller,Contemporary Romance,Nonfiction,Adult Fiction,Suspense,Womens Fiction,Crime,Literary Fiction,Chick Lit,Science Fiction,Autobiography,Memoir,LGBT,Paranormal,Cultural,New Adult,War,Biography,Magic,publish_year,publish_month,publish_day,num_awards
https://www.goodreads.com/book/show/50158635-once-upon-an-eid,Once Upon an Eid,S.K. Ali,216,132,4.37,272.0,English,2020-05-05 00:00:00,"['Short Stories', 'Contemporary', 'Middle Grade', 'Childrens', 'Anthologies']",[],,,,1419740830.0,9781419740831.0,"{'5': 105, '4': 89, '3': 19, '2': 2, '1': 1}",,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,5.0,5.0,0
https://www.goodreads.com/book/show/52695959-say-yes-to-the-duke,Say Yes to the Duke,Eloisa James,777,198,4.1,400.0,English,2020-05-19 00:00:00,"['Regency', 'Georgian', 'Historical Romance', 'Historical', 'Fiction', 'Regency Romance', 'Adult', 'Historical Fiction', 'Romance', 'Family']",[],"['Viola Astley', 'Devin Lucas Augustus Elstan, Duke of Wynter']",,The Wildes of Lindow Castle #5,62878069.0,9780062878069.0,"{'5': 315, '4': 270, '3': 156, '2': 26, '1': 10}",,,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,5.0,19.0,0
https://www.goodreads.com/book/show/53197771-love-under-quarantine,Love Under Quarantine,Kylie Scott,1061,289,3.8,275.0,English,2020-05-05 00:00:00,"['Sports Romance', 'Contemporary Romance', 'Sports', 'Contemporary', 'Romance']",[],,,,,,"{'5': 311, '4': 384, '3': 240, '2': 90, '1': 36}",,B087H93864,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,5.0,5.0,0
https://www.goodreads.com/book/show/52514906-one-last-shot,One Last Shot,John David  Anderson,53,29,4.26,336.0,,2020-05-05 00:00:00,"['Realistic Fiction', 'Sports', 'Middle Grade', 'Childrens', 'Family']",[],,,,62643924.0,9780062643926.0,"{'5': 23, '4': 22, '3': 7, '2': 1, '1': 0}",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,5.0,5.0,0
https://www.goodreads.com/book/show/50204812-the-engineer-s-wife,The Engineer's Wife,Tracey Enerson Wood,399,185,3.76,352.0,,2020-04-07 00:00:00,"['North American Hi...', 'Literature', 'New York', 'Adult Fiction', 'Historical', 'Fiction', 'Adult', 'American History', 'American', 'Historical Fiction']",[],,,,,9781492698135.0,"{'5': 77, '4': 195, '3': 87, '2': 35, '1': 5}",,,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,4.0,7.0,0
https://www.goodreads.com/book/show/49878332-master-class,Master Class,Christina Dalcher,805,343,3.91,336.0,English,2020-04-21 00:00:00,"['Science Fiction', 'Dystopia', 'Fiction']",[],,,,440000831.0,9780440000839.0,"{'5': 241, '4': 324, '3': 178, '2': 48, '1': 14}",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2020.0,4.0,21.0,0
https://www.goodreads.com/book/show/45046555-the-last-emperox,The Last Emperox,John Scalzi,5245,639,4.21,320.0,English,2020-04-14 00:00:00,"['Space', 'Science Fiction', 'Audiobook', 'Fiction', 'Space Opera']",[],,,The Interdependency #3,765389169.0,9780765389169.0,"{'5': 2161, '4': 2217, '3': 712, '2': 121, '1': 34}",,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2020.0,4.0,14.0,0
https://www.goodreads.com/book/show/46178726-something-she-s-not-telling-us,Something She's Not Telling Us,Darcey Bell,888,218,3.24,320.0,English,2020-04-07 00:00:00,"['Fiction', 'Thriller', 'Mystery']",[],,,,62953931.0,9780062953933.0,"{'5': 88, '4': 243, '3': 390, '2': 128, '1': 39}",,,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,4.0,7.0,0
https://www.goodreads.com/book/show/45288569-the-heirloom-garden,The Heirloom Garden,Viola Shipman,317,132,4.33,448.0,English,2020-04-28 00:00:00,"['Historical Fiction', 'Historical', 'Fiction']",[],,,,1525804618.0,9781525804618.0,"{'5': 171, '4': 100, '3': 31, '2': 10, '1': 5}",,,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,4.0,28.0,0
https://www.goodreads.com/book/show/51773394-im-perfectly-happy,(Im)perfectly Happy,Sharina Harris,45,32,4.09,320.0,,2020-04-28 00:00:00,"['Womens Fiction', 'Contemporary', 'Fiction']",[],,,,1496725638.0,9781496725639.0,"{'5': 15, '4': 21, '3': 7, '2': 2, '1': 0}",,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,4.0,28.0,0
